Date Of Death Year,Date Of Death Month,Sex,Race/Ethnicity,AgeGroup,AllCause,NaturalCause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",AnalysisDate,Note,flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
2019,4,Male (M),Hispanic,25-34 years,582,178,,33,,0,,,,,,32,,0,0,09/03/2020,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
2019,4,Male (M),Hispanic,35-44 years,653,363,,61,16,,,,,,13,87,25,0,0,09/03/2020,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
2019,4,Male (M),Hispanic,45-54 years,1029,798,14,160,71,0,18,,11,17,11,192,48,0,0,09/03/2020,,,,,,,,,Suppressed (counts 1-9),,,,,,,
2019,4,Male (M),Hispanic,5-14 years,58,30,0,13,0,0,,0,0,0,,,0,0,0,09/03/2020,,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,
2019,4,Male (M),Hispanic,55-64 years,1587,1391,26,378,117,,16,25,25,31,,332,73,0,0,09/03/2020,,,,,,,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,,,
2019,4,Male (M),Hispanic,65-74 years,1774,1683,25,491,137,13,29,57,39,44,,415,115,0,0,09/03/2020,,,,,,,,,,,,Suppressed (counts 1-9),,,,
2019,4,Male (M),Hispanic,75-84 years,1894,1827,29,416,107,67,47,100,44,46,10,473,119,0,0,09/03/2020,,,,,,,,,,,,,,,,
2019,4,Male (M),Hispanic,85 years and over,1548,1514,23,222,42,128,40,79,27,31,,441,138,0,0,09/03/2020,,,,,,,,,,,,Suppressed (counts 1-9),,,,
2019,4,Male (M),Non-Hispanic American Indian or Alaska Native,0-4 years,12,10,0,0,0,0,,0,0,0,,0,0,0,0,09/03/2020,,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
2019,4,Male (M),Non-Hispanic American Indian or Alaska Native,15-24 years,25,,0,0,0,0,0,0,0,0,,0,0,0,0,09/03/2020,,,Suppressed (counts 1-9),,,,,,,,,Suppressed (counts 1-9),,,,
2019,4,Male (M),Non-Hispanic American Indian or Alaska Native,25-34 years,57,21,0,,,0,0,0,0,0,,,0,0,0,09/03/2020,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,
2019,4,Male (M),Non-Hispanic American Indian or Alaska Native,35-44 years,78,45,,,,0,,0,0,0,,12,,0,0,09/03/2020,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
2019,4,Male (M),Non-Hispanic American Indian or Alaska Native,45-54 years,79,60,,,,0,,0,,,,14,,0,0,09/03/2020,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
2019,4,Male (M),Non-Hispanic American Indian or Alaska Native,5-14 years,,,0,0,0,0,0,0,0,0,0,,0,0,0,09/03/2020,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,,,,,Suppressed (counts 1-9),,,
2019,4,Male (M),Non-Hispanic American Indian or Alaska Native,55-64 years,156,145,,36,15,0,,,,,,29,,0,0,09/03/2020,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
2019,4,Male (M),Non-Hispanic American Indian or Alaska Native,65-74 years,185,182,,51,12,,,14,,,,39,,0,0,09/03/2020,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
2019,4,Male (M),Non-Hispanic American Indian or Alaska Native,75-84 years,128,117,,20,10,,,13,,,,33,,0,0,09/03/2020,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
2019,4,Male (M),Non-Hispanic American Indian or Alaska Native,85 years and over,70,69,,,,,,,,,0,26,,0,0,09/03/2020,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
2019,4,Male (M),Non-Hispanic Asian,0-4 years,33,29,0,0,0,0,0,0,,0,,0,0,0,0,09/03/2020,,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
2019,4,Male (M),Non-Hispanic Asian,15-24 years,34,,0,,,0,0,0,0,0,,,0,0,0,09/03/2020,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,
2019,4,Male (M),Non-Hispanic Asian,25-34 years,77,31,0,10,,0,,0,0,,,,,0,0,09/03/2020,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
2019,4,Male (M),Non-Hispanic Asian,35-44 years,106,72,,17,,0,,0,,,,19,,0,0,09/03/2020,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
2019,4,Male (M),Non-Hispanic Asian,45-54 years,196,167,,48,13,0,,0,,,,54,,0,0,09/03/2020,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
2019,4,Male (M),Non-Hispanic Asian,5-14 years,,,0,0,0,0,0,0,0,0,0,,0,0,0,09/03/2020,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,,,,,Suppressed (counts 1-9),,,
2019,4,Male (M),Non-Hispanic Asian,55-64 years,412,371,,148,19,,,,,,,84,28,0,0,09/03/2020,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
2019,4,Male (M),Non-Hispanic Asian,65-74 years,595,570,,186,46,,13,15,11,23,,131,33,0,0,09/03/2020,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,,,
2019,4,Male (M),Non-Hispanic Asian,75-84 years,720,695,13,167,42,18,24,28,18,18,,176,64,0,0,09/03/2020,,,,,,,,,,,,Suppressed (counts 1-9),,,,
2019,4,Male (M),Non-Hispanic Asian,85 years and over,782,756,,129,29,50,32,31,,14,,198,62,0,0,09/03/2020,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
2019,4,Male (M),Non-Hispanic Black,0-4 years,316,275,,,0,0,,,,,35,,,0,0,09/03/2020,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,
2019,4,Male (M),Non-Hispanic Black,15-24 years,405,70,,10,,0,,,,0,,13,,0,0,09/03/2020,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
2019,4,Male (M),Non-Hispanic Black,25-34 years,721,252,,30,17,0,,,,,14,70,13,0,0,09/03/2020,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
2019,4,Male (M),Non-Hispanic Black,35-44 years,836,498,,54,38,0,,,12,18,15,169,21,0,0,09/03/2020,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,,
2019,4,Male (M),Non-Hispanic Black,45-54 years,1405,1089,20,185,75,0,18,16,11,37,12,389,63,0,0,09/03/2020,,,,,,,,,,,,,,,,
2019,4,Male (M),Non-Hispanic Black,5-14 years,64,26,0,,0,0,,,,0,,,,0,0,09/03/2020,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
2019,4,Male (M),Non-Hispanic Black,55-64 years,3159,2833,48,741,161,,53,92,43,90,36,856,155,0,0,09/03/2020,,,,,,,Suppressed (counts 1-9),,,,,,,,,
2019,4,Male (M),Non-Hispanic Black,65-74 years,3518,3332,75,916,181,24,64,173,44,126,29,895,209,0,0,09/03/2020,,,,,,,,,,,,,,,,
2019,4,Male (M),Non-Hispanic Black,75-84 years,2730,2658,58,631,126,90,41,135,37,79,19,733,201,0,0,09/03/2020,,,,,,,,,,,,,,,,
2019,4,Male (M),Non-Hispanic Black,85 years and over,1587,1556,31,258,42,110,31,62,21,50,19,422,120,0,0,09/03/2020,,,,,,,,,,,,,,,,
2019,4,Male (M),Non-Hispanic White,0-4 years,452,373,,,0,0,,,,,46,,,0,0,09/03/2020,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,
2019,4,Male (M),Non-Hispanic White,15-24 years,779,161,,31,11,0,,,,,,14,,0,0,09/03/2020,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
2019,4,Male (M),Non-Hispanic White,25-34 years,1852,485,12,80,27,0,12,,,,29,102,14,0,0,09/03/2020,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
2019,4,Male (M),Non-Hispanic White,35-44 years,2623,1197,24,209,55,0,17,16,18,14,32,334,39,0,0,09/03/2020,,,,,,,,,,,,,,,,
2019,4,Male (M),Non-Hispanic White,45-54 years,5243,3878,42,972,190,,64,102,47,56,57,1182,121,0,0,09/03/2020,,,,,,,Suppressed (counts 1-9),,,,,,,,,
2019,4,Male (M),Non-Hispanic White,5-14 years,120,60,,17,0,0,,,,0,,,,0,0,09/03/2020,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
2019,4,Male (M),Non-Hispanic White,55-64 years,13161,11675,164,3622,527,35,187,664,140,161,116,3205,362,0,0,09/03/2020,,,,,,,,,,,,,,,,
2019,4,Male (M),Non-Hispanic White,65-74 years,19905,18879,300,5865,769,176,313,1516,359,341,150,4893,726,0,0,09/03/2020,,,,,,,,,,,,,,,,
2019,4,Male (M),Non-Hispanic White,75-84 years,23938,22930,343,5783,703,824,511,1853,491,474,174,5925,1211,0,0,09/03/2020,,,,,,,,,,,,,,,,
2019,4,Male (M),Non-Hispanic White,85 years and over,23766,22880,288,3365,475,1431,600,1323,397,531,268,7446,1406,0,0,09/03/2020,,,,,,,,,,,,,,,,
2019,4,Male (M),Other,0-4 years,52,46,0,0,0,0,,0,0,0,,0,,0,0,09/03/2020,,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
2019,4,Male (M),Other,15-24 years,40,,0,,0,0,,0,0,0,,,0,0,0,09/03/2020,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,
2019,4,Male (M),Other,25-34 years,63,15,0,,0,0,0,0,0,0,0,,0,0,0,09/03/2020,,,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,
2019,4,Male (M),Other,35-44 years,73,37,0,10,,0,,0,0,,,11,0,0,0,09/03/2020,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
2019,4,Male (M),Other,45-54 years,105,73,,14,,0,0,0,0,,,21,,0,0,09/03/2020,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
2019,4,Male (M),Other,5-14 years,,,0,,0,0,0,0,0,0,0,0,0,0,0,09/03/2020,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,,,,,,
2019,4,Male (M),Other,55-64 years,226,202,,52,10,0,,,,,,75,,0,0,09/03/2020,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
2019,4,Male (M),Other,65-74 years,258,246,0,50,12,,,23,,,,84,13,0,0,09/03/2020,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
2019,4,Male (M),Other,75-84 years,180,172,0,35,10,,,16,,,,43,,0,0,09/03/2020,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
2019,4,Male (M),Other,85 years and over,96,93,,18,,,,,0,,0,31,,0,0,09/03/2020,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
2019,5,Female (F),Hispanic,0-4 years,197,169,0,,0,0,0,,,,11,,,0,0,09/03/2020,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,
2019,5,Female (F),Hispanic,15-24 years,124,32,,,,0,0,0,0,0,0,,,0,0,09/03/2020,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
2019,5,Female (F),Hispanic,25-34 years,188,88,,23,,0,0,,,,,,,0,0,09/03/2020,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
2019,5,Female (F),Hispanic,35-44 years,304,215,,81,14,0,,0,,,,20,,0,0,09/03/2020,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
2019,5,Female (F),Hispanic,45-54 years,554,480,,191,33,0,,,,14,,57,15,0,0,09/03/2020,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
2019,5,Female (F),Hispanic,5-14 years,38,27,0,,0,0,0,0,,,,,0,0,0,09/03/2020,,,,,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,
2019,5,Female (F),Hispanic,55-64 years,908,836,15,344,46,,15,21,17,20,,122,46,0,0,09/03/2020,,,,,,,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,,,
2019,5,Female (F),Hispanic,65-74 years,1340,1307,31,412,94,27,20,43,28,36,10,232,81,0,0,09/03/2020,,,,,,,,,,,,,,,,
2019,5,Female (F),Hispanic,75-84 years,1781,1732,26,380,110,118,33,73,40,50,10,380,138,0,0,09/03/2020,,,,,,,,,,,,,,,,
2019,5,Female (F),Hispanic,85 years and over,2466,2425,24,262,83,313,52,91,40,45,27,650,255,0,0,09/03/2020,,,,,,,,,,,,,,,,
2019,5,Female (F),Non-Hispanic American Indian or Alaska Native,0-4 years,12,,0,0,0,0,,0,0,0,,0,,0,0,09/03/2020,,,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
2019,5,Female (F),Non-Hispanic American Indian or Alaska Native,15-24 years,11,,0,0,,0,0,0,0,0,0,0,0,0,0,09/03/2020,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,,,,,,
2019,5,Female (F),Non-Hispanic American Indian or Alaska Native,25-34 years,28,16,,0,,0,,,0,0,,,0,0,0,09/03/2020,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,
2019,5,Female (F),Non-Hispanic American Indian or Alaska Native,35-44 years,52,31,,,,0,,,0,0,0,,0,0,0,09/03/2020,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,
2019,5,Female (F),Non-Hispanic American Indian or Alaska Native,45-54 years,79,65,0,15,,0,,,,,,,,0,0,09/03/2020,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
2019,5,Female (F),Non-Hispanic American Indian or Alaska Native,5-14 years,,,0,0,0,0,0,,0,0,0,0,0,0,0,09/03/2020,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,,,
2019,5,Female (F),Non-Hispanic American Indian or Alaska Native,55-64 years,135,125,,41,,0,,,,,0,29,,0,0,09/03/2020,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
2019,5,Female (F),Non-Hispanic American Indian or Alaska Native,65-74 years,148,143,,40,17,,,12,,,,22,,0,0,09/03/2020,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
2019,5,Female (F),Non-Hispanic American Indian or Alaska Native,75-84 years,145,141,,38,,,,13,,,0,25,,0,0,09/03/2020,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
2019,5,Female (F),Non-Hispanic American Indian or Alaska Native,85 years and over,116,113,0,13,,10,,,,,,24,,0,0,09/03/2020,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
2019,5,Female (F),Non-Hispanic Asian,0-4 years,30,22,0,,0,0,0,0,,0,0,0,0,0,0,09/03/2020,,,,,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,,,,,
2019,5,Female (F),Non-Hispanic Asian,15-24 years,14,,,,0,0,0,0,0,0,0,0,0,0,0,09/03/2020,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,,,,,,
2019,5,Female (F),Non-Hispanic Asian,25-34 years,42,21,0,,,0,,,0,0,,,,0,0,09/03/2020,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
2019,5,Female (F),Non-Hispanic Asian,35-44 years,54,39,,21,0,0,0,0,0,0,0,,,0,0,09/03/2020,,,,Suppressed (counts 1-9),,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
2019,5,Female (F),Non-Hispanic Asian,45-54 years,140,125,,72,,0,0,0,,0,,14,12,0,0,09/03/2020,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
2019,5,Female (F),Non-Hispanic Asian,5-14 years,,,,,0,0,0,0,0,0,0,0,0,0,0,09/03/2020,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,,,,,,
2019,5,Female (F),Non-Hispanic Asian,55-64 years,264,248,,137,10,,,,,,,34,16,0,0,09/03/2020,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
2019,5,Female (F),Non-Hispanic Asian,65-74 years,443,429,,176,16,10,,,,15,,68,39,0,0,09/03/2020,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
2019,5,Female (F),Non-Hispanic Asian,75-84 years,661,634,,176,38,26,13,13,,19,,136,60,0,0,09/03/2020,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
2019,5,Female (F),Non-Hispanic Asian,85 years and over,1160,1139,,147,40,115,45,35,16,18,,308,138,0,0,09/03/2020,,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
2019,5,Female (F),Non-Hispanic Black,0-4 years,259,220,,,0,0,,0,,,41,,,0,0,09/03/2020,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,
2019,5,Female (F),Non-Hispanic Black,15-24 years,135,49,0,,,0,0,,0,,,11,0,0,0,09/03/2020,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
2019,5,Female (F),Non-Hispanic Black,25-34 years,295,171,,29,13,0,,,,,,35,,0,0,09/03/2020,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
2019,5,Female (F),Non-Hispanic Black,35-44 years,528,419,,106,15,0,,,,11,,96,19,0,0,09/03/2020,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
2019,5,Female (F),Non-Hispanic Black,45-54 years,1049,926,23,253,45,0,15,25,23,24,,229,57,0,0,09/03/2020,,,,,,,,,,,,Suppressed (counts 1-9),,,,
2019,5,Female (F),Non-Hispanic Black,5-14 years,49,34,,,0,0,,,,0,0,,0,0,0,09/03/2020,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,
2019,5,Female (F),Non-Hispanic Black,55-64 years,2241,2118,60,694,111,,27,82,30,62,28,490,105,0,0,09/03/2020,,,,,,,Suppressed (counts 1-9),,,,,,,,,
2019,5,Female (F),Non-Hispanic Black,65-74 years,2640,2580,53,772,166,47,33,119,44,79,13,606,165,0,0,09/03/2020,,,,,,,,,,,,,,,,
2019,5,Female (F),Non-Hispanic Black,75-84 years,2952,2906,59,663,149,128,38,123,42,119,20,736,242,0,0,09/03/2020,,,,,,,,,,,,,,,,
2019,5,Female (F),Non-Hispanic Black,85 years and over,3327,3271,59,386,113,329,64,77,29,87,48,911,326,0,0,09/03/2020,,,,,,,,,,,,,,,,
2019,5,Female (F),Non-Hispanic White,0-4 years,379,320,,10,0,0,,0,,0,37,,,0,0,09/03/2020,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
2019,5,Female (F),Non-Hispanic White,15-24 years,380,120,,31,,0,,,,0,11,12,,0,0,09/03/2020,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
2019,5,Female (F),Non-Hispanic White,25-34 years,926,411,13,98,13,0,13,,,,16,51,,0,0,09/03/2020,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
2019,5,Female (F),Non-Hispanic White,35-44 years,1436,896,18,285,31,0,17,15,,11,18,150,34,0,0,09/03/2020,,,,,,,,,,Suppressed (counts 1-9),,,,,,
2019,5,Female (F),Non-Hispanic White,45-54 years,3384,2760,53,1048,84,,33,135,34,40,46,462,87,0,0,09/03/2020,,,,,,,Suppressed (counts 1-9),,,,,,,,,
2019,5,Female (F),Non-Hispanic White,5-14 years,89,47,0,15,0,0,,0,,0,0,,0,0,0,09/03/2020,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,
2019,5,Female (F),Non-Hispanic White,55-64 years,8526,7867,127,3117,277,42,93,668,117,107,69,1322,278,0,0,09/03/2020,,,,,,,,,,,,,,,,
2019,5,Female (F),Non-Hispanic White,65-74 years,14931,14433,259,4964,500,266,240,1451,290,264,117,2592,675,0,0,09/03/2020,,,,,,,,,,,,,,,,
2019,5,Female (F),Non-Hispanic White,75-84 years,21876,21215,321,4990,499,1418,347,2088,451,397,201,4616,1315,0,0,09/03/2020,,,,,,,,,,,,,,,,
2019,5,Female (F),Non-Hispanic White,85 years and over,36570,35481,370,3621,532,3749,733,1878,526,584,550,10388,2836,0,0,09/03/2020,,,,,,,,,,,,,,,,
2019,5,Female (F),Other,0-4 years,59,51,0,0,0,0,0,0,0,0,,0,,0,0,09/03/2020,,,,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
2019,5,Female (F),Other,15-24 years,23,,0,,0,0,0,0,0,0,,,0,0,0,09/03/2020,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,
